short_name,long_name,Sub-Borough Area,2000,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
hh_u18_pct,Households with children under 18 years old,Greenwich Village/Financial District,0.113999999999578,0.11818539509931725,0.13898904594124,0.142120068416663,0.181653764472152,0.139789541156989,0.127327596431348,0.136431408251857,0.143429720362973,0.164560866826905,0.139027817471659,0.142624714619361,0.182455853052758,0.160962201230658,0.169700107531164,0.152958011766001,,0.129333117688285,0.136516339203909
hh_u18_pct,Households with children under 18 years old,Lower East Side/Chinatown,0.2209999999995489,0.18113246389839333,0.182899598067476,0.172724016312135,0.171303429778006,0.19227364874511,0.163307053057746,0.204905612281025,0.178993749648066,0.160742666171556,0.133246350811384,0.144998162340226,0.140442132639792,0.162637024177855,0.125695122468905,0.123257399737347,,0.12495447857944,0.124874105125623
hh_u18_pct,Households with children under 18 years old,Chelsea/Clinton/Midtown,0.08399999999983265,0.08707810109990533,0.086826190538524,0.0806696494551708,0.0800364426029004,0.086623009853614,0.0924383020730503,0.0894880339291124,0.0879452054794521,0.0854619000214222,0.0907542108697228,0.0860018400915558,0.0931744046305153,0.0836627726202639,0.114626239715842,0.0868543859094692,,0.0785893466519017,0.0698564734749383
hh_u18_pct,Households with children under 18 years old,Stuyvesant Town/Turtle Bay,0.08399999999983265,0.10127400509918516,0.101238679078685,0.113776901353588,0.1015872644544,0.116034985422741,0.107526326657031,0.0756550299833288,0.0839693696638962,0.0758654745815573,0.0887526785269348,0.0731241330576566,0.122173259097026,0.0992195661525226,0.101177288886599,0.108219475168076,,0.108560650773692,0.112461572139682
hh_u18_pct,Households with children under 18 years old,Upper West Side,0.1459999999988213,0.17231863849883666,0.211803625041699,0.193236401402051,0.179298181713617,0.207575405493331,0.189009755945516,0.183093658576785,0.185161054678631,0.159013037388212,0.187639490275535,0.136895557528657,0.139365884719176,0.207678865443085,0.20119330746443,0.179284738818709,,0.178417148075562,0.21126906355669
hh_u18_pct,Households with children under 18 years old,Upper East Side,0.13299999999981083,0.15804552109875658,0.171702972890383,0.168896841450132,0.177826168821069,0.188018927596339,0.162310963666202,0.15738967033368,0.154845112832547,0.17608425842929,0.181586234521674,0.180685075655866,0.178374451828136,0.175082499124311,0.159944277358525,0.190963460063041,,0.181598445161354,0.164735344932898
hh_u18_pct,Households with children under 18 years old,Morningside Heights/Hamilton Heights,0.30899999999746797,0.28000597979917075,0.248048775214581,0.266521893466413,0.275848831257465,0.258277853710154,0.252995211771234,0.247887993431714,0.241685000647082,0.228967928996702,0.247280775716695,0.233558394940387,0.255391828533155,0.210884491114701,0.25853825136612,0.176924336047796,,0.180926430517711,0.165780419142947
hh_u18_pct,Households with children under 18 years old,Borough Park,0.41099999999642023,0.38334927809773944,0.410838772701035,0.40818767995458,0.404042904290429,0.422071185076965,0.454666132872585,0.445440399745776,0.398863077810784,0.427706895045006,0.442230037775173,0.442435481378458,0.444365294201453,0.411435826069972,0.405016141047926,0.44007597775591,,0.439356487494239,0.456948626530952
hh_u18_pct,Households with children under 18 years old,Coney Island,0.2929999999978463,0.23437366939833737,0.218257549461992,0.229634190356893,0.22573083287369,0.22052495697074,0.242120875046348,0.184070402138799,0.247531023481667,0.245809807495665,0.268693143998225,0.297218186943041,0.260589436080633,0.279096235720609,0.255888214997535,0.249501417025297,,0.221953139189926,0.262927952974819
hh_u18_pct,Households with children under 18 years old,Flatbush,0.4179999999978463,0.3364453179965494,0.352153328992063,0.374988693717325,0.338825044916777,0.335283812826209,0.370792666240992,0.35043226661089,0.336396055456497,0.31250111760814,0.341583025468336,0.348342526831503,0.363376405197219,0.292091539578144,0.312325622461593,0.341756213670939,,0.27692620514906,0.249555131871624
hh_u18_pct,Households with children under 18 years old,Sheepshead Bay/Gravesend,0.3099999999976717,0.32980298369875527,0.264329625812871,0.27287640237579,0.281002882270342,0.281178407789233,0.240687731325323,0.273935289137557,0.311786808886426,0.303847165016212,0.267212289565428,0.316039806819845,0.283890098212296,0.316846492554872,0.297481875220777,0.289911798127739,,0.254301913066543,0.23376413046999
hh_u18_pct,Households with children under 18 years old,Brownsville/Ocean Hill,0.5169999999998254,0.44940418519763625,0.450733805668016,0.463264788017263,0.479299907882616,0.457952468007313,0.451423806136715,0.458894079910745,0.474593448032053,0.42676431424767,0.389979443854616,0.338482449138098,0.277578148852721,0.251754139769857,0.275077433852258,0.305149751378021,,0.25375889725339,0.297908392904422
hh_u18_pct,Households with children under 18 years old,East Flatbush,0.4499999999970896,0.4153236513993761,0.429481156696941,0.367149970387594,0.395127634784451,0.374369765406892,0.406942204871425,0.351459596067765,0.361203667294439,0.360920687261368,0.298101003727002,0.323771772240881,0.339304636423616,0.287223194874656,0.291007972554141,0.322551974650282,,0.279060665362035,0.254857050032489
hh_u18_pct,Households with children under 18 years old,Flatlands/Canarsie,0.42999999999665306,0.3761412334970373,0.405996847050744,0.395797435154546,0.427738213145938,0.425722085241282,0.384309182188159,0.394796623177283,0.376813720455979,0.385309510918607,0.347770791654758,0.392679267926793,0.361207880124743,0.347498880526947,0.341487107029318,0.31505644947458,,0.313036461007996,0.298288188793304
hh_u18_pct,Households with children under 18 years old,Astoria,0.2849999999998545,0.27222308609998436,0.252556449519855,0.24891140512477,0.220364319447568,0.179995599446048,0.239431555024956,0.236657333014394,0.186317940559297,0.195706885761082,0.172285435201563,0.197256827496652,0.187705224656054,0.199645009247658,0.189831835274054,0.173692555838049,,0.148874862788145,0.173914658609673
