short_name,long_name,Sub-Borough Area,2005-2009,2006-2010,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016,2013-2017,2014-2018,2015-2019,2016-2020,2017-2021,2018-2022
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Coney Island,,,,,,,,0.7627118644067796,0.7342505430847213,0.7478200209277991,0.7455643639109097,,,
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),East New York/Starrett City,0.8094478772174606,0.8133640552995391,0.8347683476834769,0.8169491525423729,0.8473824312333629,0.7702837232453957,0.8077113198220465,0.8096126924871675,0.8368951117661508,0.8604992657856094,0.8912037037037037,0.9017775752051048,0.8742331288343558,0.8876259364505296
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Park Slope/Carroll Gardens,0.13584963325183377,0.10138316656856974,0.09107780157030693,0.08291694800810263,0.08678556382530543,0.07634957890376916,0.08331003634330444,0.0896025810236105,0.1018458549222798,0.13513922518159807,0.15192279573036993,0.1564152939398519,0.1478077444628597,0.14866190276026342
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Sunset Park,0.6639921401670215,0.6660355374308186,0.6428571428571429,0.6076669661575322,0.6402080886054707,0.5386371619248331,0.5735186539868324,0.6230057120346661,0.6091359620771385,0.615417196103346,0.6097957288765088,0.6097560975609756,0.595,0.613713182037663
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),North Crown Heights/Prospect Heights,0.5965512115356028,0.6310344827586207,0.6035215543412265,0.556960049937578,0.5733354776455452,0.5058975601874293,0.4570121951219512,0.3992632927610506,0.3847117794486216,0.38338306894926966,0.3723157283807313,0.377107079788088,0.329709582233266,0.39092738814057904
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),South Crown Heights,0.6974319857615052,0.7094291212315587,0.6831168831168831,0.660761154855643,0.647562582345191,0.5703899537343027,0.5270189431704886,0.5092359361880773,0.4924193892803758,0.5086838250680059,0.6008138351983723,0.5102934734997809,0.507655597534301,0.576930409914204
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Bay Ridge,0.6395774075579033,0.6476605005440697,0.6108705067128627,0.5849923430321593,0.6130514705882353,0.5176751247018,0.5176396472070559,0.5733244857332449,0.6264672036823935,0.6801834419502776,0.69694049626596,0.6571502057613169,0.641428209673335,0.7176948464077177
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Bensonhurst,0.7578334825425246,0.8250251762336355,0.8502804194099001,0.8463229904715368,0.8177777777777778,0.772597137014315,0.7370927795770623,0.7498205312275664,0.7660567587752054,0.8066520467836257,0.8412344301914854,0.8201018291533094,0.8198667221990837,0.8616874135546335
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Borough Park,0.7101919437685861,0.6791740115839838,0.6809202300575143,0.6664997496244367,0.7309594460929772,0.5624029000517866,0.6350156829198745,0.6089994410285076,0.598956735194845,0.608122179798681,0.6148579253680246,0.6362937331795463,0.6915292353823088,0.7523210542078467
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Flatbush,0.7172034564021995,0.7029246794871795,0.6910586250527204,0.6347607052896725,0.6233155080213904,0.4608567208271787,0.5085616438356164,0.4874154770848986,0.4469413233458177,0.5350748995250274,0.5703083229370879,0.5613545816733068,0.6047423084460122,0.7259503491078355
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Sheepshead Bay/Gravesend,0.7601501194131696,,0.6771766391974203,0.6583172768143867,0.6254860903380197,0.5477741585233442,0.5873939393939394,0.5930902111324377,0.5803932130352815,0.6754318123227636,0.6929003852504128,0.7259818731117825,0.7443631039531479,0.7614543304759089
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Brownsville/Ocean Hill,0.8758138413310828,0.863880742913001,0.8235151515151515,0.8297619047619048,0.828762222752206,0.7892701788303528,0.7958065284727186,0.8617021276595744,0.8371681415929203,0.8100183262064753,0.7569506726457399,0.7627947096032203,,
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),East Flatbush,0.8578843302026693,0.8563243719700309,0.8256259869163095,0.7983062179630043,0.8016129032258065,0.741600790513834,0.7696800406297613,0.8127828054298643,0.7720325203252032,0.8229649238914626,0.8560873755220045,0.8791402396053559,0.870264474624732,0.8515806988352745
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Flatlands/Canarsie,0.5991715399610137,0.6049414824447334,0.6370023419203747,0.6740506329113924,0.7111995451961342,0.6633820724729815,0.6328793158061451,0.6821829855537721,0.676266137040715,0.6986869384934347,0.7393162393162394,0.7377165075998586,0.7784923186852447,
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Astoria,0.3964862298195632,0.3484714440184803,0.3414530369109669,0.2983278955954323,0.29167096707606566,0.2359561654654951,0.24167769520513083,0.24838977768543527,0.22549019607843135,0.26659280894349885,0.31691827173347215,0.3346897253306205,0.35516028146989836,0.4505980973909767
afford_le080_rct,Rental units affordable at  80% AMI (% of recently available units),Greenwich Village/Financial District,0.09760938983343402,0.10833644859813084,0.11384751511576464,0.09514363382558225,0.06832252895331051,0.07184813753581662,0.07106637402558087,0.10699925539836189,0.12401883830455258,0.15937423612808604,0.2044978236337256,0.1666533705624252,0.1321404507000075,0.12878943406555807
