short_name,long_name,Sub-Borough Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
pop_bornstate_pct,Born in New York State,Greenwich Village/Financial District,0.37769917649711715,0.387763420698651,0.374621231115282,0.393964607915719,0.377548471808924,0.347382437355116,0.369340095978593,0.39194240713827,0.367916259735056,0.363783043470104,0.359649580566464,0.383599562864416,0.377548965646857,0.404536153021141,0.371895400999307,,0.385424124036082,0.371745516492066
pop_bornstate_pct,Born in New York State,Lower East Side/Chinatown,0.3808293714973843,0.376097700216602,0.358143419778078,0.382483974548858,0.383300208623946,0.3718217207831,0.364954697359055,0.382382520203532,0.414992064460994,0.364715682866195,0.384257114291985,0.374730062274006,0.394230170104056,0.394381241634922,0.356409458618544,,0.42575815575688,0.390092180524308
pop_bornstate_pct,Born in New York State,Chelsea/Clinton/Midtown,0.3847343720990466,0.380899124308615,0.375913313158468,0.374895801040267,0.343685580991646,0.350529110365804,0.370343443946564,0.37803754217824,0.3607649187733,0.337785301812683,0.301172888237284,0.335885972605475,0.329651372536158,0.342582743031211,0.357475043337916,,0.382711092388299,0.313931179051713
pop_bornstate_pct,Born in New York State,Stuyvesant Town/Turtle Bay,0.43698254589980934,0.47248706564679,0.452712201270057,0.452371053831505,0.44620548200634,0.447650368164143,0.399818621114397,0.391606509064375,0.450836002148651,0.438007938667169,0.412271029699449,0.411576769952253,0.412623434931919,0.421654524940452,0.455280774774047,,0.428855369954846,0.385812364478478
pop_bornstate_pct,Born in New York State,Upper West Side,0.4693016079982044,0.484816338579045,0.452557228775234,0.446383703803537,0.481324218695018,0.439134720755793,0.445776600523568,0.474945610571693,0.408707060936084,0.440844396851965,0.443909454397952,0.394264665526777,0.475764480964014,0.444567047724634,0.442247971416169,,0.466177347770263,0.445581063399548
pop_bornstate_pct,Born in New York State,Upper East Side,0.5022387636927306,0.504115005665419,0.53741300234132,0.479906648696828,0.528524385712394,0.480095228521033,0.466807296190594,0.479899122072254,0.495823698956959,0.459044245554264,0.501228031747067,0.477333747328816,0.480195500865936,0.447285407567895,0.465376209227478,,0.466164326106764,0.478637516608286
pop_bornstate_pct,Born in New York State,Morningside Heights/Hamilton Heights,0.4544644027992035,0.378918980576196,0.406811491997302,0.428848195974482,0.425326117229076,0.39625347705146,0.397126664982132,0.386906388327231,0.418106862948691,0.373759933914134,0.391464977757672,0.40801948959623,0.424344015821552,0.398411716171617,0.395364243396042,,0.393984429094962,0.400317577338588
pop_bornstate_pct,Born in New York State,Central Harlem,0.6420691345992964,0.576437029701294,0.545142253148947,0.538430983118173,0.560865158252681,0.575340950394286,0.557389657070691,0.547961752112024,0.555607205896223,0.529202360123308,0.569849296407506,0.519168983949766,0.532595868205803,0.518122603530883,0.585422915856869,,0.523549599353997,0.540657632436867
pop_bornstate_pct,Born in New York State,East Harlem,0.5201417483986006,0.556695733764251,0.506664910215138,0.553167626314085,0.552105393194974,0.538834315651604,0.523868186017863,0.54315396040412,0.539668098433222,0.532113203765236,0.551938187104889,0.573306324890713,0.570373141307397,0.493537906137184,0.598015289093062,,0.559021540353773,0.552709305859707
pop_bornstate_pct,Born in New York State,Washington Heights/Inwood,0.3778872290968138,0.38526909468705,0.372589693176284,0.370701489379499,0.377017436804198,0.346071835415308,0.383181526314538,0.382545747410612,0.375319417858091,0.377701513159361,0.369184614301802,0.352426505388279,0.370062455113228,0.375541954774808,0.385891933207902,,0.39261791408326,0.384777824924264
pop_bornstate_pct,Born in New York State,University Heights/Fordham,0.484309265299089,0.495741756189395,0.50164393523282,0.46891816810858,0.473476648594207,0.479122617657061,0.457293478912952,0.424442102230075,0.455146718402081,0.494821226947685,0.493798438845523,0.461133108833216,0.454250062357168,0.47421492571494,0.457300175820677,,0.492635816744393,0.43691645263635
pop_bornstate_pct,Born in New York State,Mott Haven/Hunts Point,0.5514158413934638,0.56794053662074,0.528914759038144,0.533878328244525,0.566252138439268,0.555858154219019,0.559983425632391,0.554123434648344,0.586400319126085,0.580153996183001,0.545525032558985,0.567702319091609,0.557212021207877,0.575026066596343,0.595542963003324,,0.580448243876758,0.539540380647894
pop_bornstate_pct,Born in New York State,Morrisania/Belmont,0.5705683288979344,0.555406180312201,0.567263572764514,0.564765043617007,0.544313338358202,0.54830657761234,0.511441130079792,0.535191934207687,0.518347101560926,0.536833732953259,0.564247046406319,0.50184846056999,0.533946563870796,0.551773664052526,0.559018099809171,,0.54865779459016,0.537865697784511
pop_bornstate_pct,Born in New York State,East Flatbush,0.41097132339928066,0.382339371734853,0.420600225582201,0.395137977240727,0.422930130108942,0.405681291656271,0.407018907018907,0.391975768409554,0.401323134485984,0.41848086907203,0.409814861425735,0.425682160976279,0.421031216315575,0.42662821578595,0.43860332772096,,0.422660332200125,0.42830282654713
pop_bornstate_pct,Born in New York State,Flatlands/Canarsie,0.5510435281976243,0.548328445747801,0.558914357147445,0.560703948353926,0.555101620112255,0.532802113054319,0.515970647748604,0.514165499270173,0.540648211003037,0.518517991818238,0.561723300287936,0.549562451043053,0.532399356325677,0.530334416949535,0.522329160212296,,0.541782396200164,0.537843360296596
pop_bornstate_pct,Born in New York State,Highbridge/South Concourse,0.4583512155986682,0.475225462593535,0.468385384918785,0.475729905948878,0.449132838090781,0.445131765604539,0.507579769394254,0.484818662292692,0.46689724035136,0.484692543137269,0.469260382641157,0.431270787367866,0.468579253222898,0.459695834187183,0.526819297971697,,0.477178737312919,0.463301537778986
